,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_lr,params_n_channels,params_optimizer,params_weight_decay,state
84,84,0.01786387339234352,2021-11-27 21:17:03.361634,2021-11-27 21:19:36.125160,0 days 00:02:32.763526,9,0.0067949779145527805,11,Adam,1.0053236300401489e-05,COMPLETE
85,85,0.02180451899766922,2021-11-27 21:19:36.126162,2021-11-27 21:21:00.168176,0 days 00:01:24.042014,9,0.02899633447640459,12,Adam,1.2096663993855998e-05,PRUNED
86,86,0.018059656023979187,2021-11-27 21:21:00.169636,2021-11-27 21:23:16.023403,0 days 00:02:15.853767,9,0.006452003868130238,11,Adam,1.062741103405563e-05,COMPLETE
87,87,0.018155572935938835,2021-11-27 21:23:16.028751,2021-11-27 21:25:40.786625,0 days 00:02:24.757874,9,0.01025565960773869,11,Adam,1.0145517810598138e-05,COMPLETE
88,88,0.016988877207040787,2021-11-27 21:25:40.792455,2021-11-27 21:27:53.161722,0 days 00:02:12.369267,9,0.009656874105098313,11,Adam,1.0894140548498078e-05,COMPLETE
89,89,0.01929381489753723,2021-11-27 21:27:53.163252,2021-11-27 21:30:10.004274,0 days 00:02:16.841022,9,0.0076908245124647084,11,Adam,3.5257619074698404e-05,COMPLETE
90,90,0.029840819537639618,2021-11-27 21:30:10.006277,2021-11-27 21:30:34.025514,0 days 00:00:24.019237,9,0.04480220116301266,10,Adam,1.947777333355169e-05,PRUNED
91,91,0.017960499972105026,2021-11-27 21:30:34.026517,2021-11-27 21:32:53.380655,0 days 00:02:19.354138,9,0.012656438339489139,11,Adam,1.0140496770642049e-05,COMPLETE
92,92,0.017775479704141617,2021-11-27 21:32:53.390959,2021-11-27 21:35:08.800207,0 days 00:02:15.409248,9,0.009503207752009444,11,Adam,1.0115460034310391e-05,COMPLETE
93,93,0.018415596336126328,2021-11-27 21:35:08.808201,2021-11-27 21:37:41.684461,0 days 00:02:32.876260,10,0.013948400323006765,12,Adam,1.597184142613668e-05,COMPLETE
94,94,0.017657944932579994,2021-11-27 21:37:41.685461,2021-11-27 21:40:25.671833,0 days 00:02:43.986372,9,0.011709853809210323,12,Adam,1.0064571269400434e-05,COMPLETE
95,95,0.12516140937805176,2021-11-27 21:40:25.673331,2021-11-27 21:40:58.376654,0 days 00:00:32.703323,9,0.01998168318354228,11,Adam,0.009236598595221744,PRUNED
96,96,0.01860017701983452,2021-11-27 21:40:58.379713,2021-11-27 21:43:28.992769,0 days 00:02:30.613056,10,0.010783574392347945,12,Adam,2.9291527766890725e-05,COMPLETE
97,97,0.04369311034679413,2021-11-27 21:43:28.993772,2021-11-27 21:44:02.430896,0 days 00:00:33.437124,9,0.009073667442596672,10,RMSprop,1.99248320879089e-05,PRUNED
98,98,0.018212437629699707,2021-11-27 21:44:02.431916,2021-11-27 21:46:41.063643,0 days 00:02:38.631727,9,0.01345882885281117,11,Adam,2.7811410488605934e-05,COMPLETE
99,99,0.017863577231764793,2021-11-27 21:46:41.064646,2021-11-27 21:49:19.458134,0 days 00:02:38.393488,10,0.0046528547874787034,12,Adam,1.0011253185168373e-05,COMPLETE
